,Type,Name
41,Protein,Calmodulin-3
43,Protein,Voltage-dependent L-type calcium channel subunit alpha
44,Protein,Osm-9-like TRP channel 1
68,Protein,Voltage-dependent L-type calcium channel subunit beta-2
72,Protein,Voltage-dependent L-type calcium channel subunit beta-1
83,Protein,Voltage-dependent L-type calcium channel subunit alpha-1C
86,Protein,Potassium voltage-gated channel subfamily A member 5
96,Protein,Chloride intracellular channel protein 2
99,Protein,Voltage-dependent L-type calcium channel subunit alpha-1D
101,Protein,Voltage-dependent T-type calcium channel subunit alpha-1G
102,Protein,"cAMP-specific 3',5'-cyclic phosphodiesterase 4D"
103,Protein,Voltage-dependent calcium channel subunit alpha-2/delta-1
107,Protein,Voltage-dependent T-type calcium channel subunit alpha-1H
108,Protein,Voltage-dependent calcium channel gamma-8 subunit
111,Protein,Voltage-dependent L-type calcium channel subunit alpha
112,Protein,Voltage-dependent L-type calcium channel subunit alpha
113,Protein,Voltage-dependent L-type calcium channel subunit alpha
114,Protein,Voltage-dependent L-type calcium channel subunit alpha
115,Protein,Voltage-dependent calcium channel gamma-7 subunit
116,Protein,Voltage-dependent calcium channel subunit alpha-2/delta-2
117,Protein,Calcium channel voltage-dependent subunit beta 2
118,Protein,Voltage-dependent L-type calcium channel subunit beta-2
119,Protein,Calcium channel voltage-dependent subunit beta 2
120,Protein,Voltage-dependent L-type calcium channel subunit beta-2
121,Protein,Calcium channel voltage-dependent subunit beta 2
122,Protein,Voltage-dependent calcium channel gamma-4 subunit
123,Protein,Calcium channel voltage-dependent subunit beta 1
130,Protein,Voltage-dependent calcium channel gamma-6 subunit
13946,Protein,
13947,Protein,
13948,Protein,
13949,Protein,
13950,Protein,
13951,Protein,
13952,Protein,
13953,Protein,
13954,Protein,
13956,Protein,
13957,Protein,
13958,Protein,
13960,Protein,
13962,Protein,
13963,Protein,
13964,Protein,
13965,Protein,
13969,Protein,
13971,Protein,
13973,Protein,
13975,Protein,
13976,Protein,
13978,Protein,
13982,Protein,
13983,Protein,
13984,Protein,
13985,Protein,
13987,Protein,
13988,Protein,
13993,Protein,
13994,Protein,
13995,Protein,
13996,Protein,
14000,Protein,
14002,Protein,
14003,Protein,
14005,Protein,
14007,Protein,
14008,Protein,
14011,Protein,
14012,Protein,
14014,Protein,
14016,Protein,
14019,Protein,
14024,Protein,
14025,Protein,
14026,Protein,
14027,Protein,
14028,Protein,
14030,Protein,
14031,Protein,
14032,Protein,
14035,Protein,
14039,Protein,
14040,Protein,
14041,Protein,
14042,Protein,
14043,Protein,
14045,Protein,
14046,Protein,
14051,Protein,
14052,Protein,
14053,Protein,
14056,Protein,
14058,Protein,
14061,Protein,
14063,Protein,
14064,Protein,
14065,Protein,
14066,Protein,
14067,Protein,
14068,Protein,
14069,Protein,
14071,Protein,
14072,Protein,
14075,Protein,
14076,Protein,
14078,Protein,
14082,Protein,
14083,Protein,
14084,Protein,
14089,Protein,
14090,Protein,
14091,Protein,
14092,Protein,
14093,Protein,
14095,Protein,
14096,Protein,
14097,Protein,
14098,Protein,
14101,Protein,
14102,Protein,
14103,Protein,
14107,Protein,
14109,Protein,
14110,Protein,
14114,Protein,
14116,Protein,
14117,Protein,
14119,Protein,
14120,Protein,
14121,Protein,
14122,Protein,
14124,Protein,
14125,Protein,
14126,Protein,
14128,Protein,
14129,Protein,
14132,Protein,
14133,Protein,
14136,Protein,
14137,Protein,
14138,Protein,
14139,Protein,
14140,Protein,
14142,Protein,
14145,Protein,
14149,Protein,
14153,Protein,
14154,Protein,
14155,Protein,
14156,Protein,
14158,Protein,
14159,Protein,
14160,Protein,
14161,Protein,
14162,Protein,
14163,Protein,
14164,Protein,
14166,Protein,
14167,Protein,
14168,Protein,
14169,Protein,
14171,Protein,
14172,Protein,
14175,Protein,
14181,Protein,
14183,Protein,
14184,Protein,
14187,Protein,
14189,Protein,
14190,Protein,
14191,Protein,
14192,Protein,
14195,Protein,
14196,Protein,
14197,Protein,
14198,Protein,
14199,Protein,
14200,Protein,
14202,Protein,
14203,Protein,
14204,Protein,
14205,Protein,
14206,Protein,
14207,Protein,
14208,Protein,
14209,Protein,
14210,Protein,
14211,Protein,
14215,Protein,
14217,Protein,
14221,Protein,
14222,Protein,
14223,Protein,
14224,Protein,
14227,Protein,
14228,Protein,
14231,Protein,
14233,Protein,
14234,Protein,
