,Type,Name
22,Protein,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2
24,Protein,Cardiac phospholamban
26,Protein,Cardiac phospholamban
32,Protein,Short transient receptor potential channel 4
35,Protein,Integrin beta-1
36,Protein,Stromal interaction molecule 1
38,Protein,Transient receptor potential cation channel subfamily M member 2
54,Protein,Plasma membrane calcium-transporting ATPase 4
74,Protein,Serine/threonine-protein kinase Sgk1
76,Protein,A-kinase anchor protein 6
78,Protein,Phosphofurin acidic cluster sorting protein 2
80,Protein,Sodium/calcium exchanger 1
89,Protein,Calcium release-activated calcium channel protein 1
13636,MeSH,diabetic cardiomyopathies
13693,MeSH,22q11 deletion syndrome
13731,MeSH,trisomy 13 syndrome
13780,MeSH,cardiomegaly
