,Type,Name
13966,Protein,
13968,Protein,
13997,Protein,
13998,Protein,
14006,Protein,
14009,Protein,
14038,Protein,
14085,Protein,
14112,Protein,
14173,Protein,
14179,Protein,
14230,Protein,
